Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,"This data was collected by rotating the laptop so that the keyboard faced down the hall. Otherwise, the original position was unaltered."
18,0.8269785,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
19,0.8379218,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
20,0.8487735,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
21,0.8537023,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
22,0.8553350,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
23,0.8662462,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
24,0.8831630,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
25,0.8940720,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
26,0.9051222,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
27,0.9163635,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
28,0.9382120,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
29,0.9551907,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
30,0.9559387,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
31,0.9669247,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
32,0.9773847,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
33,0.9883562,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
34,0.9992486,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
35,1.0209687,[F04F7C 1B02BC],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = BroadCast SSID",
36,1.0557631,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
37,1.1582429,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
38,1.2621814,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
39,1.3285123,[7C5049 3BF424],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
40,1.3388787,[7C5049 3BF424],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
41,1.3631562,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
42,1.4768777,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
43,1.5720647,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
44,1.6703620,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
45,1.7727442,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
46,1.8756080,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
47,1.9775395,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
48,2.0797789,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
49,2.1823506,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
50,2.2847603,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
51,2.3871600,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
52,2.4899349,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
53,2.5645422,10.231.231.191,104.87.106.197,,TCP,"TCP:[Keep alive]Flags=...A...., SrcPort=3165, DstPort=HTTPS(443), PayloadLen=1, Seq=1850773062 - 1850773063, Ack=2356860695, Win=68","{TCP:26, IPv4:19}"
54,2.5954360,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
55,2.6941588,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
56,2.7966501,[24DEC6 11EF61],[*BROADCAST],236 (0xEC),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 236 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
57,2.8991632,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
58,3.0015014,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
59,3.1056730,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
60,3.2062822,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
61,3.3086982,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
62,3.4110933,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
63,3.5134781,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
64,3.6159031,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
65,3.7237491,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
66,3.9231423,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
67,3.9259661,[8CF5A3 0AA2B7],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 5",
68,3.9560127,[8CF5A3 0AA2B7],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
69,3.9771333,[8CF5A3 0AA2B7],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
70,4.0254723,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
71,4.0547633,[8CF5A3 0AA2B7],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 7",
72,4.0749379,[8CF5A3 0AA2B7],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 7",
73,4.1245783,[8CF5A3 0AA2B7],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 8",
74,4.1295644,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
75,4.2306376,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
76,4.3356777,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
77,4.4351604,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
78,4.5374200,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
79,4.6397620,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
80,4.6706956,[8C4500 7B15A4],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
81,4.7153064,[8C4500 7B15A4],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
82,4.7423209,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
83,4.8482527,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
84,4.9471491,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
85,5.0494069,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
86,5.1518666,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
87,5.2542257,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
88,5.3567217,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
89,5.3642288,[90489A D13AC7],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa",
90,5.3932922,[90489A D13AC7],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa",
91,5.4591048,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
92,5.5613579,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
93,5.5634021,[8C4500 7B15A4],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
94,5.6488146,[8C4500 7B15A4],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 7",
95,5.6639758,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
96,5.7745057,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
97,5.8193535,[8C4500 7B15A4],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 9",
98,5.8687784,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
99,5.9558938,[90489A D13AC7],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa",
100,5.9711020,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
101,6.0754994,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
102,6.1330190,[80000B C94267],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID",
103,6.1367130,[80000B C94267],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID",
104,6.1794246,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
105,6.2775539,[80000B C94267],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID",
106,6.2824531,[80000B C94267],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa",
107,6.2829791,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
108,6.2880656,[80000B C94267],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID",
109,6.3077163,[80000B C94267],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID",
110,6.3087025,[80000B C94267],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa",
111,6.3094992,[80000B C94267],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID",
112,6.3807431,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
113,6.4830941,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
114,6.5124727,[80000B C94267],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID",
115,6.5203428,[80000B C94267],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa",
116,6.5245450,[80000B C94267],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID",
117,6.5853553,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
118,6.6870157,[80000B C94267],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID",
119,6.6919654,[80000B C94267],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa",
120,6.6963347,[80000B C94267],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID",
121,6.7493083,[2C6E85 F341CA],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID",
122,6.7913275,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
123,6.7983804,[2C6E85 F341CA],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = BroadCast SSID",
124,6.8926962,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
125,6.9950943,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
126,7.0138927,[543530 3C2B43],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = UXRD",
127,7.0203918,[90489A D13AC7],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa",
128,7.0495805,[90489A D13AC7],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa",
129,7.0973804,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
130,7.1999666,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
131,7.3023694,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
132,7.3203732,[90489A D13AC7],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa",
133,7.3467073,[90489A D13AC7],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa",
134,7.4047503,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
135,7.5070881,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
136,7.6094665,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
137,7.7118710,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
138,7.8142875,[24DEC6 11EF61],[*BROADCAST],237 (0xED),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 237 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
